17,15,139,2,16,5,9,9967,42
15,15,132,2,16,5,9,9967,42
16,16,131,2,16,5,9,9967,42
24,22,131,2,16,5,9,9967,42
13,12,133,2,16,5,9,9967,42
12,13,134,2,16,5,9,9967,42
16,21,149,2,16,5,9,9967,42
16,16,163,2,16,5,9,9967,42
36,22,161,2,16,5,9,9967,42
12,13,148,2,16,5,9,9967,42
89,70,271,4,16,5,9,9967,42
92,69,248,4,16,5,9,9967,42
90,88,267,4,16,5,9,9967,42
120,135,275,4,16,5,9,9967,42
116,136,287,4,16,5,9,9967,42
85,61,288,4,16,5,9,9967,42
143,135,251,4,16,5,9,9967,42
89,98,253,4,16,5,9,9967,42
63,58,263,4,16,5,9,9967,42
115,123,288,4,16,5,9,9967,42
206,169,399,8,16,5,9,9967,42
163,154,361,8,16,5,9,9967,42
226,249,451,8,16,5,9,9967,42
177,187,372,8,16,5,9,9967,42
78,46,412,8,16,5,9,9967,42
136,122,482,8,16,5,9,9967,42
169,159,423,8,16,5,9,9967,42
198,166,373,8,16,5,9,9967,42
269,250,471,8,16,5,9,9967,42
179,140,359,8,16,5,9,9967,42
54,30,474,16,16,5,9,9967,42
209,298,497,16,16,5,9,9967,42
296,187,487,16,16,5,9,9967,42
261,103,414,16,16,5,9,9967,42
124,134,415,16,16,5,9,9967,42
194,182,484,16,16,5,9,9967,42
424,201,494,16,16,5,9,9967,42
76,90,432,16,16,5,9,9967,42
178,153,410,16,16,5,9,9967,42
194,194,462,16,16,5,9,9967,42
293,348,597,32,16,5,9,9967,42
351,351,648,32,16,5,9,9967,42
328,278,635,32,16,5,9,9967,42
247,433,570,32,16,5,9,9967,42
380,362,667,32,16,5,9,9967,42
97,101,587,32,16,5,9,9967,42
335,317,639,32,16,5,9,9967,42
268,262,681,32,16,5,9,9967,42
180,149,710,32,16,5,9,9967,42
249,319,724,32,16,5,9,9967,42
237,189,658,64,16,5,9,9967,42
338,295,786,64,16,5,9,9967,42
393,397,720,64,16,5,9,9967,42
182,196,687,64,16,5,9,9967,42
323,516,774,64,16,5,9,9967,42
332,341,690,64,16,5,9,9967,42
436,460,786,64,16,5,9,9967,42
290,447,736,64,16,5,9,9967,42
490,507,670,64,16,5,9,9967,42
298,340,764,64,16,5,9,9967,42
17,19,167,2,32,5,9,9967,42
13,25,152,2,32,5,9,9967,42
16,27,154,2,32,5,9,9967,42
16,26,167,2,32,5,9,9967,42
17,21,135,2,32,5,9,9967,42
13,22,142,2,32,5,9,9967,42
19,30,151,2,32,5,9,9967,42
17,28,158,2,32,5,9,9967,42
16,23,144,2,32,5,9,9967,42
17,23,145,2,32,5,9,9967,42
61,67,269,4,32,5,9,9967,42
152,160,262,4,32,5,9,9967,42
116,127,300,4,32,5,9,9967,42
113,110,316,4,32,5,9,9967,42
109,117,283,4,32,5,9,9967,42
137,127,270,4,32,5,9,9967,42
105,114,269,4,32,5,9,9967,42
74,78,261,4,32,5,9,9967,42
76,56,268,4,32,5,9,9967,42
106,116,304,4,32,5,9,9967,42
185,203,445,8,32,5,9,9967,42
88,102,368,8,32,5,9,9967,42
256,217,390,8,32,5,9,9967,42
262,275,441,8,32,5,9,9967,42
178,178,378,8,32,5,9,9967,42
137,186,407,8,32,5,9,9967,42
136,135,370,8,32,5,9,9967,42
201,171,364,8,32,5,9,9967,42
203,212,406,8,32,5,9,9967,42
190,181,377,8,32,5,9,9967,42
277,184,476,16,32,5,9,9967,42
130,155,420,16,32,5,9,9967,42
182,149,433,16,32,5,9,9967,42
349,224,427,16,32,5,9,9967,42
53,161,423,16,32,5,9,9967,42
80,182,478,16,32,5,9,9967,42
170,178,486,16,32,5,9,9967,42
224,167,520,16,32,5,9,9967,42
242,267,431,16,32,5,9,9967,42
136,171,450,16,32,5,9,9967,42
171,217,662,32,32,5,9,9967,42
336,452,704,32,32,5,9,9967,42
175,234,541,32,32,5,9,9967,42
265,221,751,32,32,5,9,9967,42
397,262,568,32,32,5,9,9967,42
2209,203,715,32,32,5,9,9967,42
240,324,823,32,32,5,9,9967,42
163,382,585,32,32,5,9,9967,42
180,239,587,32,32,5,9,9967,42
196,346,667,32,32,5,9,9967,42
256,165,715,64,32,5,9,9967,42
312,280,796,64,32,5,9,9967,42
435,544,806,64,32,5,9,9967,42
347,289,639,64,32,5,9,9967,42
364,416,1256,64,32,5,9,9967,42
412,441,1021,64,32,5,9,9967,42
