1,0.1,100,14878.5,web-NotreDame_sorted.txt
1,0.1,200,25242.8,web-NotreDame_sorted.txt
1,0.1,400,69758.1,web-NotreDame_sorted.txt
1,0.1,800,111624,web-NotreDame_sorted.txt
1,0.1,1600,248031,web-NotreDame_sorted.txt
1,0.1,3200,505105,web-NotreDame_sorted.txt
2,0.1,100,7866.48,web-NotreDame_sorted.txt
2,0.1,200,15455.7,web-NotreDame_sorted.txt
2,0.1,400,31230.7,web-NotreDame_sorted.txt
2,0.1,800,61663.9,web-NotreDame_sorted.txt
2,0.1,1600,122160,web-NotreDame_sorted.txt
2,0.1,3200,248710,web-NotreDame_sorted.txt
4,0.1,100,7214.66,web-NotreDame_sorted.txt
4,0.1,200,14647.6,web-NotreDame_sorted.txt
4,0.1,400,29120.6,web-NotreDame_sorted.txt
4,0.1,800,58154.1,web-NotreDame_sorted.txt
4,0.1,1600,116366,web-NotreDame_sorted.txt
4,0.1,3200,230115,web-NotreDame_sorted.txt
8,0.1,100,7189.86,web-NotreDame_sorted.txt
8,0.1,200,14485,web-NotreDame_sorted.txt
8,0.1,400,28790.1,web-NotreDame_sorted.txt
8,0.1,800,56743.3,web-NotreDame_sorted.txt
8,0.1,1600,116733,web-NotreDame_sorted.txt
8,0.1,3200,234311,web-NotreDame_sorted.txt
