8,0.1,100,20037.3,Google
8,0.1,200,40083.1,Google
8,0.1,400,80730.9,Google
8,0.1,800,160338,Google
8,0.1,1600,325281,Google
8,0.1,3200,667480,Google
8,0.1,100,15927.1,BerkStan
8,0.1,200,32055.3,BerkStan
8,0.1,400,64338.7,BerkStan
8,0.1,800,128962,BerkStan
8,0.1,1600,258061,BerkStan
8,0.1,3200,516013,BerkStan
8,0.1,100,7360.69,NotreDame
8,0.1,200,14661.2,NotreDame
8,0.1,400,29380.9,NotreDame
8,0.1,800,58824.4,NotreDame
8,0.1,1600,118054,NotreDame
8,0.1,3200,234985,NotreDame
8,0.1,100,95.8339,Facebook
8,0.1,200,184.484,Facebook
8,0.1,400,375.282,Facebook
8,0.1,800,761.376,Facebook
8,0.1,1600,1481.7,Facebook
8,0.1,3200,2919.03,Facebook
