14,4,8,1,1000,498613
13,4,8,1,1000,498613
13,4,8,1,1000,511205
13,4,7,1,1000,511205
13,4,7,1,1000,511205
15,4,7,1,1000,511205
15,4,8,1,1000,511205
13,4,7,1,1000,511205
14,4,8,1,1000,511205
14,4,8,1,1000,511205
141,15,133,2,1000,511205
151,31,131,2,1000,511205
154,27,131,2,1000,511205
142,15,169,2,1000,511205
145,15,133,2,1000,510270
180,35,154,2,1000,510270
149,30,148,2,1000,510270
153,49,148,2,1000,510270
148,15,125,2,1000,510270
138,15,132,2,1000,510270
362,558,284,4,1000,510270
315,572,252,4,1000,510270
268,556,284,4,1000,487404
264,594,266,4,1000,487404
304,616,253,4,1000,487404
335,608,279,4,1000,487404
334,587,238,4,1000,487404
305,570,257,4,1000,487404
346,568,284,4,1000,500743
363,570,278,4,1000,500743
364,1315,367,8,1000,500743
359,1306,423,8,1000,500743
385,1301,373,8,1000,500743
440,1313,369,8,1000,500743
382,1338,393,8,1000,502141
390,1326,383,8,1000,502141
437,1436,411,8,1000,502141
354,1359,405,8,1000,502141
399,1400,408,8,1000,502141
363,1351,398,8,1000,502141
481,2977,464,16,1000,497656
495,2857,521,16,1000,483908
514,2911,394,16,1000,484879
474,2915,390,16,1000,488794
484,2908,420,16,1000,495193
484,2788,397,16,1000,502847
511,2877,481,16,1000,493649
545,2804,531,16,1000,495391
482,2823,410,16,1000,488202
526,2811,420,16,1000,496202
685,6521,550,32,1000,490033
776,6503,557,32,1000,493847
636,6376,516,32,1000,511036
612,6257,535,32,1000,522968
706,6569,565,32,1000,489813
721,6425,607,32,1000,508057
630,6227,467,32,1000,487853
711,6582,528,32,1000,498909
632,6390,511,32,1000,489380
634,6247,523,32,1000,490530
831,12806,738,64,1000,469692
985,12899,785,64,1000,480470
978,12841,691,64,1000,478279
880,12883,762,64,1000,476275
843,12866,846,64,1000,490773
729,12709,671,64,1000,489098
828,12746,630,64,1000,483263
892,12825,683,64,1000,481966
1619,13078,698,64,1000,462459
857,12625,699,64,1000,493825
17,8,11,1,2000,1012886
18,8,12,1,2000,1012886
17,8,12,1,2000,1012886
19,8,11,1,2000,1012886
17,8,11,1,2000,1012886
17,8,12,1,2000,1012886
18,7,12,1,2000,1012886
18,8,11,1,2000,1012886
18,8,11,1,2000,1012886
17,8,12,1,2000,1012886
150,44,134,2,2000,1012886
146,17,134,2,2000,979279
158,44,133,2,2000,979279
145,16,128,2,2000,979279
153,40,134,2,2000,979279
149,36,137,2,2000,979279
156,41,151,2,2000,979279
159,29,133,2,2000,979279
145,17,134,2,2000,979279
156,43,135,2,2000,991045
295,604,279,4,2000,991045
258,581,282,4,2000,991045
273,590,282,4,2000,991045
365,588,273,4,2000,991045
356,580,272,4,2000,991045
370,557,286,4,2000,1016433
281,570,259,4,2000,1016433
290,564,246,4,2000,1016433
307,625,267,4,2000,1016433
338,590,289,4,2000,1016433
449,1443,416,8,2000,1016433
388,1398,400,8,2000,1016433
374,1394,427,8,2000,988523
381,1330,374,8,2000,988523
